term,df,idf
pangkas,3,6.183187059294405
industridunia,1,6.8763342398543505
warna,2,6.470869131746186
awam,1,6.8763342398543505
ikat,3,6.183187059294405
hambat,1,6.8763342398543505
akibat,8,5.372256843078077
investor,1,6.8763342398543505
global,6,5.6235712713589825
tarik,9,5.26689632742025
usaha,6,5.6235712713589825
bangun,5,5.7777219511862405
pabrik,4,5.960043507980195
agraria,2,6.470869131746186
tata,2,6.470869131746186
ruang,3,6.183187059294405
badan,2,6.470869131746186
atr,2,6.470869131746186
bpn,2,6.470869131746186
nusron,2,6.470869131746186
wahid,2,6.470869131746186
isu,10,5.171586147615925
perspektif,2,6.470869131746186
manfaat,9,5.26689632742025
lahan,3,6.183187059294405
beliau,1,6.8763342398543505
literatur,1,6.8763342398543505
kompas,3,6.183187059294405
bayar,2,6.470869131746186
masal,1,6.8763342398543505
pertaminan,1,6.8763342398543505
prioritas,1,6.8763342398543505
telusur,3,6.183187059294405
mandat,3,6.183187059294405
as,33,4.043120895798134
rata,5,5.7777219511862405
brasil,30,4.13549421592915
thailand,15,4.796892698174515
epa,2,6.470869131746186
studi,6,5.6235712713589825
bantu,18,4.625042441247856
operasi,1,6.8763342398543505
penysesuaian,1,6.8763342398543505
pabrikan,9,5.26689632742025
ratus,2,6.470869131746186
bojonegoro,2,6.470869131746186
tuban,2,6.470869131746186
lamongan,3,6.183187059294405
sejak,10,5.171586147615925
oktober,10,5.171586147615925
usai,2,6.470869131746186
itb,13,4.930424090799038
suruh,2,6.470869131746186
tehnik,1,6.8763342398543505
bagaimana,11,5.084574770626295
disamaratakan,1,6.8763342398543505
iklim,1,6.8763342398543505
tropis,1,6.8763342398543505
lemban,1,6.8763342398543505
lil,1,6.8763342398543505
masa,5,5.7777219511862405
fulltanki,1,6.8763342398543505
loh,5,5.7777219511862405
ndet,1,6.8763342398543505
buahlil,1,6.8763342398543505
gila,1,6.8763342398543505
koreksi,1,6.8763342398543505
murah,8,5.372256843078077
lailahaillallah,1,6.8763342398543505
gin,1,6.8763342398543505
gengsi,1,6.8763342398543505
ngakuin,1,6.8763342398543505
tabrak,1,6.8763342398543505
nutup,1,6.8763342398543505
malu,1,6.8763342398543505
plus,4,5.960043507980195
minus,1,6.8763342398543505
dipaksain,1,6.8763342398543505
merhatiin,1,6.8763342398543505
kendala,1,6.8763342398543505
dirasain,2,6.470869131746186
jahat,1,6.8763342398543505
anggap,8,5.372256843078077
netto,1,6.8763342398543505
siklus,1,6.8763342398543505
hidup,3,6.183187059294405
rumah,3,6.183187059294405
ngejual,1,6.8763342398543505
vivo,4,5.960043507980195
priduksi,1,6.8763342398543505
cari,9,5.26689632742025
mafia,2,6.470869131746186
migas,4,5.960043507980195
pre,1,6.8763342398543505
risiko,17,4.679109662518131
rugi,12,5.00453206295276
densitas,4,5.960043507980195
avanza,3,6.183187059294405
xpander,3,6.183187059294405
boros,20,4.5249589826908725
fase,8,5.372256843078077
tunjuk,6,5.6235712713589825
abang,2,6.470869131746186
dinaikin,1,6.8763342398543505
sampai,2,6.470869131746186
ribu,4,5.960043507980195
hektare,2,6.470869131746186
